"IdNr";"Status";"Geschlecht";"Jahrgang";"Klasse";"Name";"Vorname";"CollCount";"GebDat";"SchulNr";"DB_IdNr";"Tutor";"PruefOrd";"EMail";"KoopDBIdNr";"ExterneId";"SchulEmail";"Gruppe"
1;2;4;"EF";"EF";"Auer";"Daniela";-1;"03.01.2009";123456;81384;"";"APO-GOSt(B)10/G8";"D.Auer@smail.de";0;"";"D.Auer@meineschule.de";""
2;2;4;"EF";"EF";"Bahnsen";"Anja";-1;"12.01.2008";123456;80861;"";"APO-GOSt(B)10/G8";"A.Bahnsen@smail.de";0;"";"A.Bahnsen@meineschule.de";""
3;2;3;"EF";"EF";"Barta";"Marko";-1;"16.03.2007";123456;76247;"";"APO-GOSt(B)10/G8";"M.Barta@smail.de";0;"";"M.Barta@meineschule.de";""
4;2;4;"EF";"EF";"Bibeljé";"Sandra";-1;"08.07.2008";123456;81095;"";"APO-GOSt(B)10/G8";"S.Bibeljé@smail.de";0;"";"S.Bibeljé@meineschule.de";""
5;2;3;"EF";"EF";"Birkenfeldt";"Steffen";-1;"28.05.2008";123456;81220;"";"APO-GOSt(B)10/G8";"S.Birkenfeldt@smail.de";0;"";"S.Birkenfeldt@meineschule.de";""
6;2;4;"EF";"EF";"Birkenfeldt";"Daniela";-1;"13.10.2008";123456;81197;"";"APO-GOSt(B)10/G8";"D.Birkenfeldt@smail.de";0;"";"D.Birkenfeldt@meineschule.de";""
7;2;3;"EF";"EF";"Borcke";"Christian";-1;"11.05.2008";123456;81221;"";"APO-GOSt(B)10/G8";"C.Borcke@smail.de";0;"";"C.Borcke@meineschule.de";""
8;2;3;"EF";"EF";"Bultmann";"Phillipp";-1;"26.01.2007";123456;81519;"";"APO-GOSt(B)10/G8";"P.Bultmann@smail.de";0;"";"P.Bultmann@meineschule.de";""
9;2;3;"EF";"EF";"Byrch";"Eric";-1;"23.10.2008";123456;81046;"";"APO-GOSt(B)10/G8";"E.Byrch@smail.de";0;"";"E.Byrch@meineschule.de";""
10;2;4;"EF";"EF";"Chenoweth";"Lisa";-1;"22.02.2008";123456;80835;"";"APO-GOSt(B)10/G8";"L.Chenoweth@smail.de";0;"";"L.Chenoweth@meineschule.de";""
11;2;4;"EF";"EF";"Clauß";"Angelika";-1;"21.11.2008";123456;80850;"";"APO-GOSt(B)10/G8";"A.Clauß@smail.de";0;"";"A.Clauß@meineschule.de";""
12;2;4;"EF";"EF";"Colman";"Brigitte";-1;"24.02.2008";123456;81242;"";"APO-GOSt(B)10/G8";"B.Colman@smail.de";0;"";"B.Colman@meineschule.de";""
13;2;3;"EF";"EF";"Danielsen";"Stephan";-1;"03.03.2008";123456;81170;"";"APO-GOSt(B)10/G8";"S.Danielsen@smail.de";0;"";"S.Danielsen@meineschule.de";""
14;2;4;"EF";"EF";"Eich";"Heike";-1;"15.09.2008";123456;80857;"";"APO-GOSt(B)10/G8";"H.Eich@smail.de";0;"";"H.Eich@meineschule.de";""
15;2;3;"EF";"EF";"Feldmann";"Christian";-1;"29.01.2008";123456;81204;"";"APO-GOSt(B)10/G8";"C.Feldmann@smail.de";0;"";"C.Feldmann@meineschule.de";""
16;2;3;"EF";"EF";"Fingerhut";"Marcel";-1;"19.04.2008";123456;81353;"";"APO-GOSt(B)10/G8";"M.Fingerhut@smail.de";0;"";"M.Fingerhut@meineschule.de";""
17;2;3;"EF";"EF";"Fölkersamb";"Michael";-1;"15.07.2008";123456;92837;"";"APO-GOSt(B)10/G8";"M.Fölkersamb@smail.de";0;"";"M.Fölkersamb@meineschule.de";""
18;2;4;"EF";"EF";"Genster";"Sophie";-1;"01.12.2007";123456;81253;"";"APO-GOSt(B)10/G8";"S.Genster@smail.de";0;"";"S.Genster@meineschule.de";""
19;2;3;"EF";"EF";"Giessler";"Mario";-1;"21.01.2009";123456;81355;"";"APO-GOSt(B)10/G8";"M.Giessler@smail.de";0;"";"M.Giessler@meineschule.de";""
20;2;3;"EF";"EF";"Gotzke";"Torsten";-1;"06.11.2008";123456;81346;"";"APO-GOSt(B)10/G8";"T.Gotzke@smail.de";0;"";"T.Gotzke@meineschule.de";""
21;2;3;"EF";"EF";"Günther";"Leon";-1;"20.06.2008";123456;81365;"";"APO-GOSt(B)10/G8";"L.Günther@smail.de";0;"";"L.Günther@meineschule.de";""
22;2;4;"EF";"EF";"Hanhof";"Klaudia";-1;"04.07.2008";123456;80860;"";"APO-GOSt(B)10/G8";"K.Hanhof@smail.de";0;"";"K.Hanhof@meineschule.de";""
23;2;4;"EF";"EF";"Hanson";"Sophie";-1;"07.04.2007";123456;76816;"";"APO-GOSt(B)10/G8";"S.Hanson@smail.de";0;"";"S.Hanson@meineschule.de";""
24;2;4;"EF";"EF";"Haykens";"Silke";-1;"16.01.2008";123456;81143;"";"APO-GOSt(B)10/G8";"S.Haykens@smail.de";0;"";"S.Haykens@meineschule.de";""
25;2;4;"EF";"EF";"Hebenbrock";"Anna";-1;"19.07.2008";123456;81256;"";"APO-GOSt(B)10/G8";"A.Hebenbrock@smail.de";0;"";"A.Hebenbrock@meineschule.de";""
26;2;3;"EF";"EF";"Hecking";"Kristian";-1;"21.12.2008";123456;81173;"";"APO-GOSt(B)10/G8";"K.Hecking@smail.de";0;"";"K.Hecking@meineschule.de";""
27;2;3;"EF";"EF";"Holden";"Patrick";-1;"12.03.2008";123456;81380;"";"APO-GOSt(B)10/G8";"P.Holden@smail.de";0;"";"P.Holden@meineschule.de";""
28;2;4;"EF";"EF";"Hornar";"Marina";-1;"05.04.2008";123456;81162;"";"APO-GOSt(B)10/G8";"M.Hornar@smail.de";0;"";"M.Hornar@meineschule.de";""
29;2;4;"EF";"EF";"Jacob";"Stephanie";-1;"23.09.2008";123456;81153;"";"APO-GOSt(B)10/G8";"S.Jacob@smail.de";0;"";"S.Jacob@meineschule.de";""
30;2;4;"EF";"EF";"Jannsen";"Uta";-1;"19.01.2007";123456;77007;"";"APO-GOSt(B)10/G8";"U.Jannsen@smail.de";0;"";"U.Jannsen@meineschule.de";""
31;2;4;"EF";"EF";"Jones";"Juliane";-1;"12.08.2008";123456;81364;"";"APO-GOSt(B)10/G8";"J.Jones@smail.de";0;"";"J.Jones@meineschule.de";""
32;2;3;"EF";"EF";"Jünger";"Max";-1;"21.04.2008";123456;81099;"";"APO-GOSt(B)10/G8";"M.Jünger@smail.de";0;"";"M.Jünger@meineschule.de";""
33;2;3;"EF";"EF";"Kaup";"Ralf";-1;"12.07.2008";123456;81068;"";"APO-GOSt(B)10/G8";"R.Kaup@smail.de";0;"";"R.Kaup@meineschule.de";""
34;2;4;"EF";"EF";"Ketelhut";"Stefanie";-1;"29.06.2007";123456;105402;"";"APO-GOSt(B)10/G8";"S.Ketelhut@smail.de";0;"";"S.Ketelhut@meineschule.de";""
35;2;3;"EF";"EF";"Ketelhut";"Steffen";-1;"23.11.2008";123456;80818;"";"APO-GOSt(B)10/G8";"S.Ketelhut@smail.de";0;"";"S.Ketelhut@meineschule.de";""
36;2;3;"EF";"EF";"Kindermann";"Erik";-1;"15.06.2008";123456;102964;"";"APO-GOSt(B)10/G8";"E.Kindermann@smail.de";0;"";"E.Kindermann@meineschule.de";""
37;2;3;"EF";"EF";"Kleybold";"Tobias";-1;"22.07.2008";123456;81409;"";"APO-GOSt(B)10/G8";"T.Kleybold@smail.de";0;"";"T.Kleybold@meineschule.de";""
38;2;3;"EF";"EF";"Klodzinska";"Stefan";-1;"07.08.2008";123456;81255;"";"APO-GOSt(B)10/G8";"S.Klodzinska@smail.de";0;"";"S.Klodzinska@meineschule.de";""
39;2;4;"EF";"EF";"Krüntze";"Jana";-1;"12.04.2008";123456;81388;"";"APO-GOSt(B)10/G8";"J.Krüntze@smail.de";0;"";"J.Krüntze@meineschule.de";""
40;2;3;"EF";"EF";"Link";"Jürgen";-1;"11.12.2007";123456;81375;"";"APO-GOSt(B)10/G8";"J.Link@smail.de";0;"";"J.Link@meineschule.de";""
41;2;4;"EF";"EF";"Loeben";"Jennifer";-1;"14.07.2008";123456;81383;"";"APO-GOSt(B)10/G8";"J.Loeben@smail.de";0;"";"J.Loeben@meineschule.de";""
42;2;4;"EF";"EF";"Lorenzen";"Sarah";-1;"18.12.2006";123456;72576;"";"APO-GOSt(B)10/G8";"S.Lorenzen@smail.de";0;"";"S.Lorenzen@meineschule.de";""
43;2;4;"EF";"EF";"Low";"Claudia";-1;"23.05.2008";123456;82249;"";"APO-GOSt(B)10/G8";"C.Low@smail.de";0;"";"C.Low@meineschule.de";""
44;2;3;"EF";"EF";"Lütke-Bädding";"Peter";-1;"05.03.2008";123456;101166;"";"APO-GOSt(B)10/G8";"P.Lütke-Bädding@smail.de";0;"";"P.Lütke-Bädding@meineschule.de";""
45;2;4;"EF";"EF";"Mai";"Diana";-1;"22.05.2007";123456;76776;"";"APO-GOSt(B)10/G8";"D.Mai@smail.de";0;"";"D.Mai@meineschule.de";""
46;2;3;"EF";"EF";"Marburger";"Erik";-1;"16.05.2008";123456;81261;"";"APO-GOSt(B)10/G8";"E.Marburger@smail.de";0;"";"E.Marburger@meineschule.de";""
47;2;3;"EF";"EF";"Mautler";"Tobias";-1;"09.04.2008";123456;81426;"";"APO-GOSt(B)10/G8";"T.Mautler@smail.de";0;"";"T.Mautler@meineschule.de";""
48;2;3;"EF";"EF";"Minning";"Phillipp";-1;"15.07.2008";123456;81549;"";"APO-GOSt(B)10/G8";"P.Minning@smail.de";0;"";"P.Minning@meineschule.de";""
