"Name";"Vorname";"GebDat";"Geschlecht";"Kursbezeichnung";"Kursart";"Fixiert"
"Kleybold";"Tobias";"22.07.2008";3;"VM-VTF2";"VTF";0
"Preston";"Mandy";"23.01.2007";4;"VM-VTF2";"VTF";0
"Weiße";"Stephan";"21.07.2008";3;"VM-VTF2";"VTF";0
"Minning";"Phillipp";"15.07.2008";3;"VM-VTF2";"VTF";0
"Schmitz";"Katharina";"25.05.2008";4;"VM-VTF2";"VTF";0
"Peper";"Ines";"07.02.2008";4;"VM-VTF2";"VTF";0
"Süncksen";"Barbara";"06.06.2008";4;"VM-VTF2";"VTF";0
"Low";"Claudia";"23.05.2008";4;"VM-VTF2";"VTF";0
"Klodzinska";"Stefan";"07.08.2008";3;"VM-VTF2";"VTF";0
"Sieh";"Vanessa";"27.05.2008";4;"VM-VTF2";"VTF";0
"Holden";"Patrick";"12.03.2008";3;"VM-VTF2";"VTF";0
"Barta";"Marko";"16.03.2007";3;"VM-VTF2";"VTF";0
"Scheefe";"Melanie";"06.09.2008";4;"VM-VTF2";"VTF";0
"Günther";"Leon";"20.06.2008";3;"VM-VTF2";"VTF";0
"Jünger";"Max";"21.04.2008";3;"VM-VTF2";"VTF";0
"Wendt";"Daniela";"30.09.2008";4;"VM-VTF2";"VTF";0
"Mai";"Diana";"22.05.2007";4;"VM-VTF2";"VTF";0
"Auer";"Daniela";"03.01.2009";4;"VM-VTF1";"VTF";0
"Schneider";"Tanja";"28.11.2008";4;"VM-VTF1";"VTF";0
"Fingerhut";"Marcel";"19.04.2008";3;"VM-VTF1";"VTF";0
"Link";"Jürgen";"11.12.2007";3;"VM-VTF1";"VTF";0
"Eich";"Heike";"15.09.2008";4;"VM-VTF1";"VTF";0
"Genster";"Sophie";"01.12.2007";4;"VM-VTF1";"VTF";0
"Jannsen";"Uta";"19.01.2007";4;"VM-VTF1";"VTF";0
"Hebenbrock";"Anna";"19.07.2008";4;"VM-VTF1";"VTF";0
"Visard";"Marie";"25.07.2008";4;"VM-VTF1";"VTF";0
"Borcke";"Christian";"11.05.2008";3;"VM-VTF1";"VTF";0
"Bultmann";"Phillipp";"26.01.2007";3;"VM-VTF1";"VTF";0
"Feldmann";"Christian";"29.01.2008";3;"VM-VTF1";"VTF";0
"Birkenfeldt";"Daniela";"13.10.2008";4;"VM-VTF1";"VTF";0
"Byrch";"Eric";"23.10.2008";3;"VM-VTF1";"VTF";0
"Lorenzen";"Sarah";"18.12.2006";4;"VM-VTF1";"VTF";0
"Schmischke";"Sabine";"09.05.2008";4;"VM-VTF1";"VTF";0
"Danielsen";"Stephan";"03.03.2008";3;"VM-VTF1";"VTF";0
"Kleybold";"Tobias";"22.07.2008";3;"VE-VTF1";"VTF";0
"Priet";"Kathrin, Katrin";"16.01.2008";4;"VE-VTF1";"VTF";0
"Minning";"Phillipp";"15.07.2008";3;"VE-VTF1";"VTF";0
"Peter";"Brigitte";"07.06.2008";4;"VE-VTF1";"VTF";0
"Zibulski";"Jana";"07.02.2008";4;"VE-VTF1";"VTF";0
"Specking";"Franziska";"02.04.2008";4;"VE-VTF1";"VTF";0
"Loeben";"Jennifer";"14.07.2008";4;"VE-VTF1";"VTF";0
"Repp";"Michael";"14.01.2007";3;"VE-VTF1";"VTF";0
"Hecking";"Kristian";"21.12.2008";3;"VE-VTF1";"VTF";0
"Fölkersamb";"Michael";"15.07.2008";3;"VE-VTF1";"VTF";0
"Mai";"Diana";"22.05.2007";4;"VE-VTF1";"VTF";0
"Schnettler";"Vanessa";"12.07.2008";4;"SP-GK5";"GKM";0
"Weiße";"Stephan";"21.07.2008";3;"SP-GK5";"GKM";0
"Link";"Jürgen";"11.12.2007";3;"SP-GK5";"GKM";0
"Schmitz";"Katharina";"25.05.2008";4;"SP-GK5";"GKM";0
"Genster";"Sophie";"01.12.2007";4;"SP-GK5";"GKM";0
"Paxton";"Marcel";"03.07.2008";3;"SP-GK5";"GKM";0
"Perry";"Jessika";"30.10.2007";4;"SP-GK5";"GKM";0
"Süncksen";"Barbara";"06.06.2008";4;"SP-GK5";"GKM";0
"Low";"Claudia";"23.05.2008";4;"SP-GK5";"GKM";0
"Schütte";"Christian";"16.06.2008";3;"SP-GK5";"GKM";0
"Stemmer";"Anna";"29.06.2008";4;"SP-GK5";"GKM";0
"Holden";"Patrick";"12.03.2008";3;"SP-GK5";"GKM";0
"Günther";"Leon";"20.06.2008";3;"SP-GK5";"GKM";0
"Tettenborn";"Maik";"26.08.2007";3;"SP-GK5";"GKS";0
"Schulten";"Leon";"22.06.2008";3;"SP-GK5";"GKM";0
"Reinisch";"Marco";"13.11.2008";3;"SP-GK5";"GKM";0
"Schmischke";"Sabine";"09.05.2008";4;"SP-GK5";"GKM";0
"Repp";"Michael";"14.01.2007";3;"SP-GK5";"GKM";0
"Miss";"Jürgen";"20.03.2008";3;"SP-GK5";"GKM";0
"Mai";"Diana";"22.05.2007";4;"SP-GK5";"GKM";0
"Schlimm";"Klaus";"28.04.2008";3;"SP-GK4";"GKM";0
"Kleybold";"Tobias";"22.07.2008";3;"SP-GK4";"GKM";0
"Schneider";"Tanja";"28.11.2008";4;"SP-GK4";"GKM";0
"Preston";"Mandy";"23.01.2007";4;"SP-GK4";"GKM";0
"Schulte-Wiggering";"Phillipp";"16.10.2008";3;"SP-GK4";"GKM";0
"Rutzky";"Jennifer";"01.03.2008";4;"SP-GK4";"GKM";0
"Minning";"Phillipp";"15.07.2008";3;"SP-GK4";"GKS";0
"Quiter";"Anke";"23.03.2008";4;"SP-GK4";"GKM";0
"Jannsen";"Uta";"19.01.2007";4;"SP-GK4";"GKM";0
"Schmidt-Polex";"Monika";"10.01.2008";4;"SP-GK4";"GKM";0
"Hebenbrock";"Anna";"19.07.2008";4;"SP-GK4";"GKM";0
"Krüntze";"Jana";"12.04.2008";4;"SP-GK4";"GKS";0
"Gotzke";"Torsten";"06.11.2008";3;"SP-GK4";"GKS";0
"Rochner";"Frank";"14.11.2007";3;"SP-GK4";"GKM";0
"Scherer";"Susanne";"26.09.2008";4;"SP-GK4";"GKM";0
"Splaning";"Karin";"19.12.2008";4;"SP-GK4";"GKM";0
"Bultmann";"Phillipp";"26.01.2007";3;"SP-GK4";"GKS";0
"Loeben";"Jennifer";"14.07.2008";4;"SP-GK4";"GKM";0
"Hanson";"Sophie";"07.04.2007";4;"SP-GK4";"GKM";0
"Richardi";"Anna";"20.04.2008";4;"SP-GK4";"GKM";0
"Fölkersamb";"Michael";"15.07.2008";3;"SP-GK4";"GKM";0
"Giessler";"Mario";"21.01.2009";3;"SP-GK3";"GKM";0
"Fingerhut";"Marcel";"19.04.2008";3;"SP-GK3";"GKS";0
"Clauß";"Angelika";"21.11.2008";4;"SP-GK3";"GKM";0
"Haykens";"Silke";"16.01.2008";4;"SP-GK3";"GKM";0
"Visard";"Marie";"25.07.2008";4;"SP-GK3";"GKM";0
"Klodzinska";"Stefan";"07.08.2008";3;"SP-GK3";"GKM";0
