"Name";"Vorname";"GebDat";"Geschlecht";"Kursbezeichnung";"Kursart";"Fixiert"
"Bieker";"Ulrich";"24.08.2006";3;"SP-LK1";"LK2";0
"Binder";"Christian";"03.06.2006";3;"SP-LK1";"LK2";0
"Gosseling";"Christian";"22.05.2007";3;"SP-LK1";"LK2";0
"Willeken";"Marko";"10.03.2007";3;"SP-LK1";"LK2";0
"Sievertsen";"Klaus";"07.04.2007";3;"SP-LK1";"LK2";0
"Tordsen";"Marko";"01.09.2006";3;"SP-LK1";"LK2";0
"König";"Tobias";"16.05.2006";3;"SP-LK1";"LK2";0
"Mersmann";"Marcel";"13.03.2007";3;"SP-LK1";"LK2";0
"Groth";"Jörg";"26.03.2006";3;"SP-LK1";"LK2";0
"Marteville";"Jan";"01.12.2006";3;"SP-LK1";"LK2";0
"Berlin";"Mike";"08.12.2006";3;"IF-LK1";"LK2";0
"Holmgren";"Daniel";"16.08.2007";3;"IF-LK1";"LK2";0
"Feuerborn";"Felix";"10.02.2008";3;"IF-LK1";"LK2";0
"Grell";"Sebastian";"14.08.2007";3;"IF-LK1";"LK2";0
"Riddlesdale";"Bernd";"18.07.2007";3;"IF-LK1";"LK2";0
"Wandry";"Kristian";"11.05.2007";3;"IF-LK1";"LK2";0
"Godeke";"Ralph";"25.01.2008";3;"IF-LK1";"LK2";0
"Manteufel";"Jürgen";"25.03.2007";3;"IF-LK1";"LK2";0
"Albertsen";"Benjamin";"14.06.2007";3;"IF-LK1";"LK2";0
"Busch";"Daniel";"11.09.2007";3;"IF-LK1";"LK2";0
"Hackel";"Erik";"27.11.2007";3;"CH-LK1";"LK1";0
"Mauw";"Tanja";"22.08.2007";4;"CH-LK1";"LK2";0
"Menne";"Paul";"01.07.2007";3;"CH-LK1";"LK1";0
"Hessling";"Marko";"02.07.2007";3;"CH-LK1";"LK1";0
"Stasiak";"Kerstin";"04.12.2007";4;"CH-LK1";"LK1";0
