"ID";"Kuerzel";"Name";"Vorname";"Passwort";"Geschlecht";"AmtsBez";"EMail";"Kompetenzen"
3001;"ALBE";"Albers";"Sophie";"";"w";"StR'";"S.Albers@lmail.de";""
2922;"BACH";"Bach";"Tanja";"";"w";"OStR'";"T.Bach@lmail.de";""
5741;"BAGI";"Bagienski";"Karolin";"";"w";"L' i. A.";"K.Bagienski@lmail.de";""
4007;"BAHN";"Bahnsen";"Franziska";"";"w";"StR'";"F.Bahnsen@lmail.de";""
2868;"BART";"Bartz";"Andrea";"";"w";"StD'";"A.Bartz@lmail.de";""
3799;"BELL";"Bellinchauhs";"Christin";"";"w";"StR'";"C.Bellinchauhs@lmail.de";""
5742;"BISC";"Bischof";"Sven";"";"m";"L i. A.";"S.Bischof@lmail.de";""
4168;"BOBB";"Bobbitt";"Lukas";"";"m";"L. i. A.";"L.Bobbitt@lmail.de";""
3002;"BOD1";"Bodding";"Stephanie";"";"w";"StR'";"S.Bodding@lmail.de";""
2957;"BORC";"Borcke";"Stefanie";"";"w";"StR'";"S.Borcke@lmail.de";""
3356;"BOYE";"Boyens";"Monika";"";"w";"SOL'";"M.Boyens@lmail.de";""
3003;"BRE1";"Breitfeld";"Jennifer";"";"w";"StD'";"J.Breitfeld@lmail.de";""
2972;"BRIX";"Brix";"Anke";"";"w";"StR'";"A.Brix@lmail.de";""
4044;"BRUN";"Brunink";"Torsten";"";"m";"StR";"T.Brunink@lmail.de";""
3579;"BRÖ1";"Bröcking";"Tim";"";"m";"OStR";"T.Bröcking@lmail.de";""
2987;"BUNK";"Bunke";"Christina";"";"w";"StR'";"C.Bunke@lmail.de";""
4536;"BUNN";"Bunnell";"Klaus";"";"m";"StR";"K.Bunnell@lmail.de";""
3732;"BURW";"Burwell";"Angelika";"";"w";"StR'";"A.Burwell@lmail.de";""
5568;"BÜTT";"Büttler";"Tom";"";"m";"LAA";"T.Büttler@lmail.de";""
5113;"CARR";"Carroux";"Susanne";"";"w";"L'.i.A.";"S.Carroux@lmail.de";""
4938;"CASP";"Casperas";"Gabriele";"";"w";"StR'";"G.Casperas@lmail.de";""
3610;"CASS";"Cassens";"Uta";"";"w";"OStR'";"U.Cassens@lmail.de";""
4554;"CLAU";"Clauß";"Kerstin";"";"w";"StR'";"K.Clauß@lmail.de";""
3971;"COKE";"Coke";"Maik";"";"m";"StR";"M.Coke@lmail.de";""
2959;"CZAR";"Czarnowski";"Melanie";"";"w";"StR'";"M.Czarnowski@lmail.de";""
5720;"DEBI";"Debik";"Max";"";"m";"L i. A.";"M.Debik@lmail.de";""
2889;"DOSC";"Dosch";"Karolin";"";"w";"L'. i. A.";"K.Dosch@lmail.de";""
2956;"DÖRP";"Dörpers";"Klaudia";"";"w";"StD'";"K.Dörpers@lmail.de";""
3032;"ENG2";"Engelbrecht";"Anja";"";"w";"OStR'";"A.Engelbrecht@lmail.de";""
5430;"ENG3";"Engelkes";"Karolin";"";"w";"OBAS";"K.Engelkes@lmail.de";""
5719;"ESC1";"Eschholt";"Christian";"";"m";"L i. A.";"C.Eschholt@lmail.de";""
2863;"FEI1";"Feil";"Peter";"";"m";"OStR";"P.Feil@lmail.de";""
2866;"FELB";"Felbert";"Ulrich";"";"m";"OStD";"U.Felbert@lmail.de";""
2920;"FORS";"Forster";"Sarah";"";"w";"OStR'";"S.Forster@lmail.de";""
2969;"GEHR";"Gehrmann";"Leon";"";"m";"OStR";"L.Gehrmann@lmail.de";""
2947;"GRAW";"Grawe";"René";"";"m";"OStR";"R.Grawe@lmail.de";""
2840;"GUNT";"Guntermann";"Jonas";"";"m";"StR";"J.Guntermann@lmail.de";""
2873;"HACK";"Hackewitz";"Frank";"";"m";"StR";"F.Hackewitz@lmail.de";""
3608;"HAEC";"Haecker";"Birgit";"";"w";"StR'";"B.Haecker@lmail.de";""
2813;"HAGE";"Hagemann";"Tanja";"";"w";"StD'";"T.Hagemann@lmail.de";""
5444;"HED1";"Hederström";"Benjamin";"";"m";"StR";"B.Hederström@lmail.de";""
2909;"HEDE";"Hederström";"Niklas";"";"m";"StD";"N.Hederström@lmail.de";""
5570;"HEE1";"Heeß";"Petra";"";"w";"LAA'";"P.Heeß@lmail.de";""
5253;"HEIL";"Heile";"Tom";"";"m";"StR a. P.";"T.Heile@lmail.de";""
2946;"HERM";"Hermanns";"Christin";"";"w";"OStR'";"C.Hermanns@lmail.de";""
2940;"HUPE";"Hupe";"Jonas";"";"m";"OStR";"J.Hupe@lmail.de";""
3247;"HÖVE";"Hövel";"Alexander";"";"m";"StR";"A.Hövel@lmail.de";""
3024;"HÜTT";"Hütte";"Robert";"";"m";"StR";"R.Hütte@lmail.de";""
2975;"JABS";"Jabsen";"Jens";"";"m";"StR";"J.Jabsen@lmail.de";""
4488;"JACO";"Jacob";"Daniel";"";"m";"StR";"D.Jacob@lmail.de";""
3802;"JORD";"Jordan";"Ines";"";"w";"OStR'";"I.Jordan@lmail.de";""
2968;"KAYE";"Kaye";"Monika";"";"w";"StR'";"M.Kaye@lmail.de";""
3609;"KEM1";"Kemling";"Christina";"";"w";"StR'";"C.Kemling@lmail.de";""
4935;"KIRS";"Kirstein";"Barbara";"";"w";"OStR'";"B.Kirstein@lmail.de";""
2954;"KLOD";"Klodt";"Sabine";"";"w";"StR'";"S.Klodt@lmail.de";""
4774;"KRET";"Kretschmer";"Claudia";"";"w";"i. A.";"C.Kretschmer@lmail.de";""
3026;"KRIC";"Krickelbeck";"Stefan";"";"m";"OStR";"S.Krickelbeck@lmail.de";""
2900;"KRÜG";"Krüger";"Lea";"";"w";"OStR'";"L.Krüger@lmail.de";""
3803;"KÖRN";"Körner";"Katharina";"";"w";"StR'";"K.Körner@lmail.de";""
2916;"LEUG";"Leugermann";"Stephanie";"";"w";"StR'";"S.Leugermann@lmail.de";""
4573;"LOOS";"Loosch";"Andrea";"";"w";"";"A.Loosch@lmail.de";""
2958;"LORE";"Lorenz";"Klaudia";"";"w";"OStR'";"K.Lorenz@lmail.de";""
3740;"LUDW";"Ludwig";"Ursula";"";"w";"StR'";"U.Ludwig@lmail.de";""
5743;"LÜDD";"Lüddesen";"Christian";"";"m";"";"C.Lüddesen@lmail.de";""
2936;"LÜLF";"Lülff";"Petra";"";"w";"StR'";"P.Lülff@lmail.de";""
5091;"MATH";"Mathiesen";"Paul";"";"m";"StR a. P.";"P.Mathiesen@lmail.de";""
2830;"MEKE";"Mekens";"Florian";"";"m";"OStR";"F.Mekens@lmail.de";""
3008;"MERL";"Merle";"Uta";"";"w";"OStR'";"U.Merle@lmail.de";""
4890;"MERT";"Merten";"Jessica";"";"w";"L' i. A.";"J.Merten@lmail.de";""
2974;"MÖLL";"Möllmann";"Florian";"";"m";"StR";"F.Möllmann@lmail.de";""
2952;"NAHN";"Nahnsen";"Marko";"";"m";"L i. A.";"M.Nahnsen@lmail.de";""
