"IdNr";"Status";"Geschlecht";"Jahrgang";"Klasse";"Name";"Vorname";"CollCount";"GebDat";"SchulNr";"DB_IdNr";"Tutor";"PruefOrd";"EMail";"KoopDBIdNr";"ExterneId";"SchulEmail";"Gruppe"
1;2;3;"Q1";"Q1";"Albertsen";"Benjamin";-1;"14.06.2007";123456;76676;"";"APO-GOSt(B)10/G8";"B.Albertsen@smail.de";0;"";"B.Albertsen@meineschule.de";""
2;2;4;"Q1";"Q1";"Altmann";"Vanessa";-1;"08.04.2007";123456;76666;"";"APO-GOSt(B)10/G8";"V.Altmann@smail.de";0;"";"V.Altmann@meineschule.de";""
3;2;3;"Q1";"Q1";"Andreae";"Thomas";-1;"23.03.2007";123456;76718;"";"APO-GOSt(B)10/G8";"T.Andreae@smail.de";0;"";"T.Andreae@meineschule.de";""
4;2;3;"Q1";"Q1";"Ayelkes";"Matthias";-1;"02.10.2007";123456;76516;"";"APO-GOSt(B)10/G8";"M.Ayelkes@smail.de";0;"";"M.Ayelkes@meineschule.de";""
5;2;3;"Q1";"Q1";"Baader";"Marcel";-1;"17.01.2007";123456;76228;"";"APO-GOSt(B)10/G8";"M.Baader@smail.de";0;"";"M.Baader@meineschule.de";""
6;2;3;"Q1";"Q1";"Baldes";"Felix";-1;"30.11.2007";123456;76234;"";"APO-GOSt(B)10/G8";"F.Baldes@smail.de";0;"";"F.Baldes@meineschule.de";""
7;2;3;"Q1";"Q1";"Beisner";"Mike";-1;"04.10.2006";123456;72304;"";"APO-GOSt(B)10/G8";"M.Beisner@smail.de";0;"";"M.Beisner@meineschule.de";""
8;2;3;"Q1";"Q1";"Bergert";"Klaus";-1;"31.07.2007";123456;76242;"";"APO-GOSt(B)10/G8";"K.Bergert@smail.de";0;"";"K.Bergert@meineschule.de";""
9;2;3;"Q1";"Q1";"Berlin";"Mike";-1;"08.12.2006";123456;76237;"";"APO-GOSt(B)10/G8";"M.Berlin@smail.de";0;"";"M.Berlin@meineschule.de";""
10;2;3;"Q1";"Q1";"Bieker";"Ulrich";-1;"24.08.2006";123456;72605;"";"APO-GOSt(B)10/G8";"U.Bieker@smail.de";0;"";"U.Bieker@meineschule.de";""
11;2;3;"Q1";"Q1";"Binder";"Christian";-1;"03.06.2006";123456;72615;"";"APO-GOSt(B)10/G8";"C.Binder@smail.de";0;"";"C.Binder@meineschule.de";""
12;2;3;"Q1";"Q1";"Borchers";"Erik";-1;"09.01.2007";123456;76798;"";"APO-GOSt(B)10/G8";"E.Borchers@smail.de";0;"";"E.Borchers@meineschule.de";""
13;2;4;"Q1";"Q1";"Brockhues";"Marina";-1;"26.02.2007";123456;87208;"";"APO-GOSt(B)10/G8";"M.Brockhues@smail.de";0;"";"M.Brockhues@meineschule.de";""
14;2;4;"Q1";"Q1";"Brüning";"Kristin";-1;"08.08.2007";123456;76811;"";"APO-GOSt(B)10/G8";"K.Brüning@smail.de";0;"";"K.Brüning@meineschule.de";""
15;2;3;"Q1";"Q1";"Büning";"Mathias";-1;"26.08.2007";123456;76382;"";"APO-GOSt(B)10/G8";"M.Büning@smail.de";0;"";"M.Büning@meineschule.de";""
16;2;3;"Q1";"Q1";"Busch";"Daniel";-1;"11.09.2007";123456;76628;"";"APO-GOSt(B)10/G8";"D.Busch@smail.de";0;"";"D.Busch@meineschule.de";""
17;2;3;"Q1";"Q1";"Camphausen";"Lukas";-1;"24.10.2007";123456;76175;"";"APO-GOSt(B)10/G8";"L.Camphausen@smail.de";0;"";"L.Camphausen@meineschule.de";""
18;2;3;"Q1";"Q1";"Corsica";"Jürgen";-1;"22.05.2007";123456;76517;"";"APO-GOSt(B)10/G8";"J.Corsica@smail.de";0;"";"J.Corsica@meineschule.de";""
19;2;3;"Q1";"Q1";"Dichmann";"Max";-1;"27.07.2007";123456;77000;"";"APO-GOSt(B)10/G8";"M.Dichmann@smail.de";0;"";"M.Dichmann@meineschule.de";""
20;2;3;"Q1";"Q1";"Diele";"Philipp";-1;"08.07.2007";123456;76627;"";"APO-GOSt(B)10/G8";"P.Diele@smail.de";0;"";"P.Diele@meineschule.de";""
21;2;4;"Q1";"Q1";"Diele";"Sarah";-1;"08.03.2007";123456;76615;"";"APO-GOSt(B)10/G8";"S.Diele@smail.de";0;"";"S.Diele@meineschule.de";""
22;2;3;"Q1";"Q1";"Dünn";"Stefan";-1;"13.04.2006";123456;82332;"";"APO-GOSt(B)10/G8";"S.Dünn@smail.de";0;"";"S.Dünn@meineschule.de";""
23;2;4;"Q1";"Q1";"Duysen";"Gabriele";-1;"10.02.2007";123456;76653;"";"APO-GOSt(B)10/G8";"G.Duysen@smail.de";0;"";"G.Duysen@meineschule.de";""
24;2;3;"Q1";"Q1";"Eichel";"Tobias";-1;"15.06.2007";123456;76118;"";"APO-GOSt(B)10/G8";"T.Eichel@smail.de";0;"";"T.Eichel@meineschule.de";""
25;2;4;"Q1";"Q1";"Ferman";"Martina";-1;"06.09.2007";123456;76673;"";"APO-GOSt(B)10/G8";"M.Ferman@smail.de";0;"";"M.Ferman@meineschule.de";""
26;2;4;"Q1";"Q1";"Fernholz";"Janina";-1;"04.02.2007";123456;76675;"";"APO-GOSt(B)10/G8";"J.Fernholz@smail.de";0;"";"J.Fernholz@meineschule.de";""
27;2;3;"Q1";"Q1";"Feuerborn";"Felix";-1;"10.02.2008";123456;76635;"";"APO-GOSt(B)10/G8";"F.Feuerborn@smail.de";0;"";"F.Feuerborn@meineschule.de";""
28;2;3;"Q1";"Q1";"Flügge";"Andreas";-1;"23.07.2007";123456;76304;"";"APO-GOSt(B)10/G8";"A.Flügge@smail.de";0;"";"A.Flügge@meineschule.de";""
29;2;4;"Q1";"Q1";"Frahm";"Christina";-1;"21.03.2007";123456;76661;"";"APO-GOSt(B)10/G8";"C.Frahm@smail.de";0;"";"C.Frahm@meineschule.de";""
30;2;3;"Q1";"Q1";"Freitag";"Jürgen";-1;"10.12.2006";123456;76819;"";"APO-GOSt(B)10/G8";"J.Freitag@smail.de";0;"";"J.Freitag@meineschule.de";""
31;2;4;"Q1";"Q1";"Gastrich";"Daniela";-1;"23.02.2007";123456;76064;"";"APO-GOSt(B)10/G8";"D.Gastrich@smail.de";0;"";"D.Gastrich@meineschule.de";""
